n,q,t,beta,seed,n_q,n_GSA,n_1,delta_rate,H
320,13,240,40,2,195,90,35,0.028322,0.015931
320,13,240,40,4,196,88,36,0.028966,0.015931
320,13,160,40,9,99,123,98,0.020853,0.000000
320,13,160,40,4,101,119,100,0.021554,0.000000
320,13,160,40,5,101,118,101,0.021669,0.007990
320,13,240,40,7,195,91,34,0.028186,0.000000
320,13,160,40,1,100,121,99,0.021198,0.000000
320,13,240,40,3,194,92,34,0.027707,0.015931
320,13,240,40,9,195,90,35,0.028322,0.015931
320,13,240,40,6,195,90,35,0.028322,0.015931
320,13,240,40,8,196,89,35,0.028820,0.000000
320,13,240,40,5,196,89,35,0.028820,0.000000
320,13,240,40,0,216,48,56,0.053105,0.015931
320,13,240,40,1,199,83,38,0.030903,0.000000
320,13,160,40,8,97,126,97,0.020293,0.007990
320,13,160,40,7,96,128,96,0.019976,0.007990
320,13,160,40,3,99,123,98,0.020853,0.000000
320,13,160,40,2,101,118,101,0.021669,0.007990
320,13,160,40,0,100,120,100,0.021308,0.007990
320,13,160,40,6,101,118,101,0.021669,0.007990
320,31,160,40,2,94,133,93,0.025819,0.000001
320,31,160,40,3,94,133,93,0.025819,0.000000
320,31,160,40,1,137,47,136,0.073064,0.000000
320,31,160,40,0,96,129,95,0.026620,0.000000
320,31,240,40,0,178,124,18,0.027521,0.021329
320,31,240,40,4,184,113,23,0.030389,0.000000
320,31,240,40,5,182,116,22,0.029419,0.021329
320,31,240,40,8,178,125,17,0.027472,0.000000
320,31,240,40,3,179,122,19,0.027973,0.021329
320,31,240,40,2,177,126,17,0.027085,0.021329
320,31,160,40,8,107,106,107,0.032295,0.010697
320,31,240,40,1,178,125,17,0.027472,0.000000
320,31,240,40,6,182,116,22,0.029419,0.021329
320,31,240,40,7,179,122,19,0.027973,0.021329
320,31,240,40,9,180,120,20,0.028439,0.021329
320,31,160,40,7,103,114,103,0.030029,0.010698
320,31,160,40,4,95,131,94,0.026214,0.000001
320,31,160,40,5,110,101,109,0.034000,0.000000
320,31,160,40,9,153,15,152,0.228932,0.000000
320,31,160,40,6,99,122,99,0.028060,0.010698
320,127,240,40,0,155,165,0,0.028298,0.175091
320,127,240,40,1,155,159,6,0.028341,0.337967
320,127,160,40,1,97,127,96,0.038143,0.000018
320,127,160,40,2,112,96,112,0.050303,0.015086
320,127,160,40,5,114,93,113,0.052088,0.000046
320,127,240,40,5,154,163,3,0.027971,0.284952
320,127,240,40,7,155,158,7,0.028356,0.364014
320,127,240,40,2,155,161,4,0.028318,0.284952
320,127,240,40,3,155,159,6,0.028341,0.337967
320,127,240,40,6,154,166,0,0.027959,0.203050
320,127,240,40,4,155,160,5,0.028329,0.311614
320,127,160,40,3,107,106,107,0.045559,0.014915
320,127,240,40,9,154,166,0,0.027959,0.203050
320,127,160,40,4,158,4,158,1.207289,0.015033
320,127,240,40,8,155,160,5,0.028329,0.311614
320,127,160,40,8,84,153,83,0.031661,0.000040
320,127,160,40,7,78,165,77,0.029358,0.000149
256,13,128,40,0,86,84,86,0.030416,0.009980
256,13,128,40,6,73,110,73,0.023227,0.009980
256,13,128,40,3,88,81,87,0.031666,0.000000
256,13,128,40,2,103,51,102,0.050293,0.000000
256,13,192,40,0,153,78,25,0.032629,0.019883
256,13,128,40,1,87,83,86,0.030903,0.000000
256,13,128,40,4,73,111,72,0.023108,0.000000
256,13,192,40,1,150,84,22,0.030298,0.019883
256,13,128,40,9,96,65,95,0.039461,0.000000
320,1031,240,40,2,126,184,10,0.029431,1.523038
256,13,128,40,5,97,63,96,0.040713,0.000000
256,13,192,40,2,153,79,24,0.032468,0.000000
256,13,128,40,7,97,62,97,0.041209,0.009980
256,13,192,40,3,152,81,23,0.031666,0.000000
256,13,128,40,8,91,74,91,0.034527,0.009980
320,1031,240,40,5,126,186,8,0.029401,1.469686
256,13,192,40,5,152,81,23,0.031666,0.000000
320,1031,240,40,1,126,188,6,0.029378,1.415272
256,13,192,40,7,150,84,22,0.030298,0.019883
256,13,192,40,4,151,82,23,0.031037,0.019883
256,13,192,40,6,150,84,22,0.030298,0.019883
256,13,192,40,9,149,87,20,0.029482,0.000000
320,1031,240,40,4,125,195,0,0.029046,1.274379
256,13,192,40,8,151,82,23,0.031037,0.019883
320,1031,240,40,0,126,185,9,0.029415,1.496493
320,1031,240,40,3,126,183,11,0.029448,1.549326
320,1031,240,40,7,127,180,13,0.029794,1.575359
320,1031,240,40,6,127,182,11,0.029754,1.523038
320,1031,240,40,8,126,185,9,0.029415,1.496493
320,1031,240,40,9,126,182,12,0.029467,1.575359
256,31,192,40,1,129,126,1,0.027043,0.026620
256,31,192,40,4,130,124,2,0.027479,0.026620
256,31,192,40,5,130,124,2,0.027479,0.026620
256,31,192,40,8,129,126,1,0.027043,0.026620
256,31,192,40,2,129,126,1,0.027043,0.026620
256,31,192,40,0,129,126,1,0.027043,0.026620
256,31,192,40,7,129,126,1,0.027043,0.026620
256,31,192,40,3,130,125,1,0.027472,0.000000
256,31,128,40,3,88,81,87,0.042395,0.000000
256,31,192,40,6,130,125,1,0.027472,0.000000
256,31,192,40,9,129,123,4,0.027073,0.104060
256,31,128,40,2,64,129,63,0.026620,0.000000
256,31,128,40,9,63,130,63,0.026313,0.013362
256,31,128,40,5,64,129,63,0.026620,0.000000
256,31,128,40,0,70,117,69,0.029350,0.000000
256,31,128,40,8,70,116,70,0.029488,0.013361
256,31,128,40,1,73,110,73,0.031097,0.013362
256,31,128,40,6,65,126,65,0.027148,0.013362
256,31,128,40,7,106,44,106,0.077741,0.013362
256,31,128,40,4,69,118,69,0.028988,0.013362
256,127,192,40,1,107,144,5,0.027780,0.843826
256,127,192,40,4,107,142,7,0.027813,0.894786
256,127,192,40,2,107,145,4,0.027768,0.817850
256,127,192,40,0,107,144,5,0.027780,0.843826
256,127,192,40,3,107,145,4,0.027768,0.817850
256,127,192,40,8,107,145,4,0.027768,0.817850
256,127,192,40,5,107,144,5,0.027780,0.843826
256,127,192,40,7,107,149,0,0.027743,0.710481
256,127,192,40,6,107,144,5,0.027780,0.843826
256,127,192,40,9,107,145,4,0.027768,0.817850
256,127,128,40,4,90,77,89,0.062912,0.000000
256,127,128,40,1,83,90,83,0.053615,0.018844
256,127,128,40,0,92,72,92,0.067019,0.018849
256,127,128,40,9,52,152,52,0.031746,0.018849
256,127,128,40,2,94,68,94,0.070961,0.018849
256,127,128,40,5,90,76,90,0.063491,0.018848
256,127,128,40,7,90,77,89,0.062912,0.000000
256,127,128,40,3,93,70,93,0.068933,0.018845
256,127,128,40,8,92,73,91,0.066359,0.000000
256,127,128,40,6,93,71,92,0.068228,0.000000
256,1031,192,40,3,80,170,6,0.028547,2.085277
256,1031,192,40,1,81,170,5,0.028863,2.031652
256,1031,192,40,6,80,176,0,0.028509,1.920768
256,1031,192,40,5,81,169,6,0.028874,2.058612
256,1031,192,40,0,80,175,1,0.028510,1.948956
256,1031,192,40,7,80,170,6,0.028547,2.085277
200,13,100,40,0,98,4,98,0.638047,0.012761
256,1031,192,40,2,80,169,7,0.028560,2.111652
200,13,100,40,3,59,82,59,0.031124,0.012761
256,1031,128,40,2,24,208,24,0.033227,0.026996
200,13,100,40,1,50,100,50,0.025522,0.012761
256,1031,192,40,4,81,167,8,0.028902,2.111652
200,13,100,40,5,70,61,69,0.042048,0.000000
200,13,100,40,6,97,6,97,0.425365,0.012761
200,13,150,40,0,103,95,2,0.026999,0.000000
200,13,150,40,4,102,96,2,0.026454,0.025396
256,1031,192,40,8,80,168,8,0.028575,2.137742
200,13,100,40,2,98,4,98,0.638047,0.012761
200,13,150,40,2,103,94,3,0.027017,0.025396
200,13,150,40,1,103,92,5,0.027068,0.074707
200,13,150,40,3,103,93,4,0.027039,0.050293
256,1031,192,40,9,80,170,6,0.028547,2.085277
200,13,150,40,7,104,92,4,0.027604,0.025396
256,1031,128,40,6,23,211,22,0.032883,0.000000
200,13,100,40,4,96,9,95,0.284994,0.000000
200,13,150,40,6,103,91,6,0.027102,0.098652
200,13,150,40,9,103,95,2,0.026999,0.000000
256,1031,128,40,1,23,210,23,0.032911,0.026997
200,13,150,40,5,103,94,3,0.027017,0.025396
200,13,150,40,8,103,95,2,0.026999,0.000000
200,13,100,40,7,99,2,99,1.276094,0.012761
256,1031,128,40,3,22,212,22,0.032600,0.026996
200,13,100,40,8,53,94,53,0.027151,0.012761
200,13,100,40,9,100,1,99,2.564949,0.000000
200,31,150,40,5,88,108,4,0.027176,0.498955
200,31,150,40,4,88,112,0,0.027133,0.395060
200,31,150,40,0,88,110,2,0.027146,0.447911
200,31,150,40,3,88,112,0,0.027133,0.395060
200,31,150,40,6,87,113,0,0.026657,0.421718
200,31,150,40,1,88,112,0,0.027133,0.395060
200,31,150,40,2,88,112,0,0.027133,0.395060
256,1031,128,40,7,23,211,22,0.032883,0.000001
256,1031,128,40,8,23,211,22,0.032883,0.000001
200,31,150,40,7,87,113,0,0.026657,0.421718
200,31,150,40,8,88,108,4,0.027176,0.498955
200,31,100,40,1,44,112,44,0.030508,0.017085
200,31,150,40,9,88,111,1,0.027138,0.421718
256,1031,128,40,9,23,211,22,0.032883,0.000004
200,31,100,40,0,48,105,47,0.032705,0.000000
200,31,100,40,6,45,110,45,0.031063,0.017085
200,31,100,40,8,76,48,76,0.071185,0.017085
200,31,100,40,2,45,110,45,0.031063,0.017085
200,31,100,40,9,45,110,45,0.031063,0.017085
200,31,100,40,3,47,107,46,0.032093,0.000000
200,31,100,40,5,68,65,67,0.052831,0.000000
200,31,100,40,4,73,54,73,0.063276,0.017085
200,31,100,40,7,63,74,63,0.046174,0.017085
200,127,150,40,2,67,133,0,0.027181,1.229122
200,127,150,40,0,67,133,0,0.027181,1.229122
200,127,150,40,6,67,133,0,0.027181,1.229122
200,127,150,40,3,67,133,0,0.027181,1.229122
200,127,150,40,1,68,132,0,0.027593,1.201941
200,127,150,40,4,68,127,5,0.027640,1.333907
200,127,150,40,7,67,133,0,0.027181,1.229122
200,127,150,40,5,68,129,3,0.027612,1.282285
200,127,100,40,2,18,164,18,0.029391,0.024100
200,127,150,40,8,67,133,0,0.027181,1.229122
200,127,100,40,4,18,165,17,0.029359,0.000000
