n,q,t,beta,seed,model,alpha,plateau,fitted_plateau,fitted_slope_len,delta,true_k,model_k,true_cost,model_cost,cost_error,bound_holds,true_d,model_d,seconds
320,31,240,40,2,TGSA,0.7499999999999851,181,-1,-1,190.90468983791465,112,156,224.0390019146639,366.1555648262157,142.1165629115518,True,46,11,146.78
320,31,240,40,2,ZGSA,0.7499999999999851,181,177,126,4.618784050209648,112,113,224.0390019146639,222.21046460680492,1.8285373078589942,True,46,46,146.78
320,31,160,40,8,GSA,0.4999999308886778,30,-1,-1,37.43462441176775,149,154,353.1540881840491,316.2406697576583,36.91341842639082,True,24,14,166.778
320,31,160,40,8,TGSA,0.4999999308886778,30,-1,-1,57.36168562817656,149,156,353.1540881840491,366.15556482621366,13.001476642164562,True,24,11,166.778
320,31,160,40,8,ZGSA,0.4999999308886778,30,107,106,87.22838386863063,149,156,353.1540881840491,282.830262238067,70.3238259459821,True,24,24,166.778
320,31,240,40,1,GSA,0.7500000000000132,177,-1,-1,43.22622659111978,111,150,224.3050007035707,203.69610404615676,20.608896657413936,True,46,24,165.079
320,31,240,40,1,TGSA,0.7500000000000132,177,-1,-1,190.90468983792465,111,156,224.3050007035707,366.15556482621344,141.85056412264274,True,46,11,165.079
320,31,240,40,1,ZGSA,0.7500000000000132,177,178,125,4.236004242240746,111,112,224.3050007035707,222.85980494218205,1.4451957613886464,True,46,46,165.079
320,31,240,40,6,GSA,0.7499999999999923,175,-1,-1,43.49940919973591,110,150,224.7874762145038,204.04226567008314,20.745210544420672,True,46,24,156.474
320,31,240,40,6,TGSA,0.7499999999999923,175,-1,-1,190.90468983791592,110,156,224.7874762145038,366.1555648262133,141.3680886117095,True,46,11,156.474
320,31,240,40,6,ZGSA,0.7499999999999923,175,182,116,4.756878149872136,110,111,224.7874762145038,225.33869366195123,0.5512174474474136,True,46,46,156.474
320,31,240,40,7,GSA,0.7499999999999348,181,-1,-1,43.12090987381903,113,150,224.2308920570381,203.56265263040675,20.668239426631345,True,46,24,159.196
320,31,240,40,7,TGSA,0.7499999999999348,181,-1,-1,190.90468983789242,113,156,224.2308920570381,366.15556482621525,141.92467276917716,True,46,11,159.196
320,31,240,40,7,ZGSA,0.7499999999999348,181,179,122,4.391191045014722,113,112,224.2308920570381,223.46615316451818,0.7647388925199152,True,46,46,159.196
320,31,240,40,9,GSA,0.7499999999999745,175,-1,-1,43.0300611219471,112,150,223.97852588385655,203.44753420174388,20.53099168211267,True,46,24,153.329
320,31,240,40,9,TGSA,0.7499999999999745,175,-1,-1,190.90468983790993,112,156,223.97852588385655,366.1555648262165,142.17703894235996,True,46,11,153.329
320,31,240,40,9,ZGSA,0.7499999999999745,175,180,120,4.636581438166026,112,111,223.97852588385655,224.0883663439875,0.10984046013095394,True,46,46,153.329
320,31,160,40,7,GSA,0.4999999959641498,27,-1,-1,35.405028375041205,150,154,353.89151762524216,319.10294900438333,34.788568620858825,True,24,13,199.596
320,31,160,40,7,TGSA,0.4999999959641498,27,-1,-1,54.0941716403935,150,156,353.89151762524216,366.1555648262163,12.264047200974119,True,24,11,199.596
320,31,160,40,7,ZGSA,0.4999999959641498,27,103,114,87.75106724645772,150,156,353.89151762524216,279.4296063712441,74.46191125399804,True,24,24,199.596
320,31,160,40,4,GSA,0.500000092571161,25,-1,-1,34.313921465987505,150,154,356.04184054464963,322.62023057617074,33.42160996847889,True,24,13,218.338
320,31,160,40,4,TGSA,0.500000092571161,25,-1,-1,51.41584536273575,150,156,356.04184054464963,366.15556482621594,10.113724281566306,True,24,11,218.338
320,31,160,40,4,ZGSA,0.500000092571161,25,95,131,87.39138120609346,150,155,356.04184054464963,272.92178630197986,83.12005424266977,True,24,24,218.338
320,31,160,40,5,GSA,0.5000000060213307,28,-1,-1,36.24048291811723,148,154,353.2380503217246,318.51997105785136,34.71807926387322,True,24,13,217.143
320,31,160,40,5,TGSA,0.5000000060213307,28,-1,-1,55.241140924072,148,156,353.2380503217246,366.1555648262148,12.917514504490214,True,24,11,217.143
